,Rating,Text
0,5,blew my expectations away truly nextgen gaming in your pocket
1,3,good for nothing
2,5,fantastic deal on fast delivery great price and topnotch quality
3,5,excellent product just nice for one hands i have no complaint cause everything is original
4,5,super duper i use thanks noon
5,2,im very desapointed this
6,5,this comment is for those who are afraid to buy the device from noon
7,4,very satisfied
8,1,one of the worst phones ever
9,1,review for i
10,5,and days usage update
11,3,original product with affordable great discount
12,1,versions guide international countryregion can be from any region facetime yes sim type nan
13,1,hi i ordered for dual physical sim after unbox it has only physical sim please return order
14,2,resolution degrades when the heats up
15,5,
16,5,excellent product and genuine sellers
17,5,thank you for your kind treatment and appreciation of the circumstances a thousand thanks from the heart you are still distinguished by your speed of accomplishment and appreciation
18,5,excellent seller
19,5,i liked the it is very good new and has great features i recommend it to you
20,5,original
21,5,original product delivered on time
22,1,very bad
23,4,fast delivery great product slightly high price
24,3,price and packaging
25,5,gb natural titanium g with facetime middle east version
26,1,verify the copy
27,5,fast delivery
28,5,the device is excellent and original
29,4,looks ordinary gold color
30,5,update to an ios
31,5,best seller
32,5,wow wow wow
33,1,face time can not install on
34,5,competitive price faster delivery smooth payment
35,2,the is original there is a difference in quality and it also gets very hot
36,5,iphone promax
37,5,thanks you noon
38,1,not coming esim option
39,1,the has more glue residue in the edges and down charging port as well
40,5,the is original and amazing thank god i recommend it to you arab computers
41,5,superb
42,1,this is china mainland not hong kong and also box is damaged
43,1,it is original but doesnt match the description
44,5,not opened
45,1,its not factory unlocked not recommended
46,5,original made in california
47,1,fake
48,5,fast delivery correct variant safe packaging
49,3,almost good product
50,5,perfect
51,5,nice product cheap price original
52,5,
53,5,best buy
54,5,the cellphone is very smooth
55,4,trusted seller
56,1,i bought the and suddenly i got a manufacture issue just after months
57,1,the turned off and wont turn on
58,5,awesome
59,5,verry good produck i alredy buyd two pro from here its was very nice i get in june and
60,5,excellent the is original
61,5,excellent
62,5,the quality and display are absoulety amazing
63,5,original
64,5,original device i love it so much thanks noon
65,4,good but wanted more innovation as owner of it feels very similar
66,5,on time delivery original packing genuine product
67,5,amazing good
68,5,legit
69,5,excellent
70,5,great deal availability on noon during amazon prime day and quick delivery
71,2,the product was chosen by the middle east but it turned out to be an american version
72,5,super value for money
73,5,the product is original
74,5,
75,5,amazing so good
76,5,
77,5,best in class
78,5,cemara and zooming level based on upgrade
79,5,original and same specifications required
80,5,
81,1,chinese product and commercial fraud legal action is being taken
82,5,its japanese
83,5,the best really like it
84,1,where can i return the
85,1,fake product made in china
86,5,legit seller and
87,5,
88,5,alhumdulillah is very good and the same delivered dual physical sim working
89,1,the product was received in very very bad condition the plastic cover was open and the box was dirty
90,5,
91,5,safe packing and original product and fast delivery
92,4,its not middle east version
93,5,brand new for sure
94,5,the desert color is very beautiful unlike what is said about it
95,5,same as shown in the picture
96,5,original tdra
97,5,i love this
98,5,original with warranty
99,1,chinese version not international
100,5,thank you noon
101,5,excellent product
102,5,
103,5,complete trust from the seller noon
104,5,amazing i like it
105,1,selling like used already activated
106,5,my new sweet promax
107,5,satisfied
108,1,new can i find a screenshot of it
109,5,great product
110,1,i got when i opened its active but after mins screen get black
111,5,tdra
112,5,superb upgrade worth every penny
113,1,japanese version
114,1,wrong varient
115,5,happy with purchase
116,5,authentic product of
117,5,legit and original fast delivery no need to go to the mall to buy thanks noon
118,1,product
119,5,veeri nicee
120,5,original and excellent product
121,5,middle east version
122,1,wrong delivery
123,5,best
124,5,very good
125,5,original
126,5,its tdra version without facetime very good product
127,5,package is very well and safety proted
128,3,excellent product with heating screen
129,2,no facetime
130,5,the product is amazing and as describedi love it
131,5,so good
132,5,i like so kuch
133,5,great product
134,5,legit
135,5,the device arrived to me in beautiful condition and without any damage
136,5,the device does not need anything thank god
137,5,perfect and original
138,5,original
139,5,
140,5,very good
141,5,
142,5,original
143,5,trusted recommended
144,5,original
145,5,i am very happy to get the original
146,5,awesome
147,5,good qualit thank you dear noon my favorite color black
148,5,tdra
149,5,original as mention japan spec
150,5,its legit product
151,5,great original time to time delivery
152,5,pro
153,5,legit product
154,5,i want the middle east version and the one i received is vietnamese
155,1,received damaged gb
156,5,
157,5,concealed packing
158,5,original
159,2,the price is too high
160,5,gb
161,1,issue with voice memo quality on whatsapp
162,5,the product is original and the price is excellent
163,5,original and authentic
164,5,product seller and number please
165,5,
166,5,finally its here
167,5,excellent
168,5,gb white
169,5,the product turned out to be original and excellent
170,1,coz its difrant from what i order
171,5,awesome
172,5,original and excellent device devices from noon are always original and at a very reasonable price
173,5,original product
174,1,very bad no middle east version
175,5,brand new fone
176,5,good service and original product
177,5,original as showing
178,5,quality of product
179,5,original product and on time delivery
180,5,genuine tra
181,5,on time delivery
182,1,unwanted product
183,5,packed with excellent features
184,5,good producg
185,5,very nice working
186,1,this not uae version
187,5,highly recommended fast and original
188,5,original pack and all good genuine
189,1,they dont accept return neither exchange
190,5,i ordered the global version
191,4,product is good but they should provide protector and pouch in this amount
192,3,disappointing
193,1,received the wrong item very disappointed
194,4,genuine product ok
195,2,charger
196,5,great service
197,2,ordered an international version phys sim esim got the chinese version instead phys sim
198,5,good device
199,5,highly recommended
200,5,very good
201,5,fast delivery
202,5,settisfied
203,5,original
204,1,fake product received
205,5,great features
206,5,original one
207,5,its so nice i love it
208,5,on time and perfect piece
209,5,highly recommended
210,5,very satisfied
211,4,thank you noon
212,5,
213,5,
214,5,
215,2,replacement method and the product is in new condition
216,5,original product nd good seller
217,5,the size of the is impressive
218,5,original product
219,5,genuine product
220,5,genuine product
221,5,good condition
222,1,
223,2,received japan why
224,5,amazing
225,5,authentic
226,5,i am return this
227,5,the product i got is japan spec its good
228,3,packing was very cheap only packed in a plastic bag
229,3,a mixed experience
230,5,credibility
231,5,excellent
232,1,your treatment is very very very bad
233,5,original product
234,5,
235,5,good quality and excellent
236,4,life is as good as said
237,5,best service
238,5,
239,5,original color is great
240,1,facetime doses not working
241,5,
242,5,nothing
243,5,product is original
244,5,nice i love it
245,5,
246,5,good
247,1,sell used as new dont buy from noon
248,5,amazing health very good
249,5,nice and great
250,5,crazy
251,5,superb
252,5,original
253,5,thank you my purchase is good brand new
254,5,nice product and fast delivery
255,5,
256,5,excellent
257,5,i pro gb
258,5,gb good price
259,5,lucky to buy from this store
260,5,great packaging and arrived on time
261,5,yes and i left a comment that is worthy of your excellent service level
262,5,i love it
263,5,
264,5,my elder brother is very happy
265,1,overheating problem
266,5,excellent product band new
267,5,the product is original and the packaging is very good
268,5,amazing
269,5,og products
270,1,yes highly disappointed from this seller not recommended to buy from this seller
271,5,pto
272,1,stolen
273,1,japan version with shutter sound
274,5,same description and color
275,5,delivered on time product is same as described
276,1,i order tdra but they deliver saudi made
277,5,satisfied
278,2,the version is not middle east version japan version
279,5,wow im so happy orginal i
280,4,
281,5,productive authentic and original
282,5,japan variant
283,5,tdra itemquick delivery
284,5,original
285,1,the has scratches
286,5,i need an gb memory
287,5,
288,5,thank god
289,5,good quality
290,1,disappointed with bluetooth and customer service
291,5,excellent product
292,3,no symbols
293,5,highly recommend
294,5,very beautiful
295,5,great value and genuine product
296,4,original product
297,5,authentic product
298,5,nice one
299,5,noon
300,5,nice one
301,5,perfect
302,5,the product is really good
303,4,the product is as described
304,5,its a good
305,4,original product with and half delivery time
306,5,very recommend
307,5,its good humble to use
308,5,thank you noon thank you treasures of the gulf
309,5,thank you for your honesty
310,5,original do not hesitate and take it
311,3,face time not showing
312,5,best
313,5,on time deliver
314,5,mashaallah the packaging is excellent the is amazing
315,5,amazing
316,5,good experience
317,5,
318,3,my problem wasnt with the device my problem was with the connection
319,5,best experience
320,1,wrong unit sold
321,5,original
322,5,original as described by the seller
323,5,excellent
324,5,was very skeptical
325,5,i advise everyone to use it
326,5,
327,4,good price delivered fast but no esim
328,5,good fone
329,5,very nice thank you noon it arrived just like i wanted it very nice
330,1,major issue with during the new setup
331,5,on time delivery
332,5,nice packaging items is safe and legit
333,4,all is good except for one
334,4,confused
335,5,perfect touch
336,5,legit
337,1,advice not to take it
338,5,great first experience great experience
339,1,the is used
340,5,everything good
341,5,
342,5,perfect
343,5,nothing of a big upgrade just average
344,5,excellent device
345,5,product was good
346,5,review for product
347,5,excellent
348,5,
349,1,not match with proposed specs
350,1,the order came to me with glue
351,5,very nice i received the same picture thank you noon
352,5,above excellent color perfect
353,5,the tongue is unable to express god willing blessed be the most gracious peace be upon the prophet i wish you further progress and permanent success
354,5,well packed
355,5,perfect
356,5,noon perfect option for online shopping
357,5,the color is nice
358,5,this product is is
359,5,very nice product
360,5,everything is perfect
361,5,frankly i recommend dealing with him everything arrived to me in good condition and clean i thank the store owner for his honesty
362,5,nice product
363,1,the has not been opened from the box and is new as is i was cancelled from work and sent to egypt and the is ready for you
364,5,good
365,5,its soooo good thank god i got it
366,5,good
367,5,genuine product
368,1,the product did not match my order and i received another product which was a poorly made wristwatch that does not exceed fifty riyals in value
369,5,original
370,5,packaged in original factory packaging
371,5,superb
372,5,
373,1,the device is very bad and turns off by itself the problem is that it is working in the background but the screen turns black and suddenly it comes back on after an hour
374,4,the is in good condition
375,5,
376,2,overheating
377,5,amazing original
378,4,went into hibernation or sleep
379,2,coverage expired
380,5,nice fast delivery
381,5,superb loved the one
382,5,superb
383,5,product exactly as described shipping was super fast
384,4,not tdra japan variant original
385,5,
386,5,fantastic
387,5,original
388,5,i like netural titanium fel good
389,5,fully sealed packaging
390,5,no guide book inside
391,5,awesome product
392,5,is the best best best
393,1,not international version
394,1,the request is not for what reason
395,5,the device is great original
396,5,noon is a source of trust
397,1,item was not international version
398,5,very good
399,1,got suck in the middle of the installation and now unable to unlock or ope
400,5,excellent
401,5,original
402,1,consumption
403,5,brand new love it
404,5,everything is good
405,1,facetime
406,2,i order dual physical sim i got china variant
407,5,express mall delivery
408,5,deserves an excellent rating
409,5,one time
410,1,review after using months
411,3,what do you expect from an every year
412,2,is not charging
413,3,care service
414,5,amazing
415,5,original product
416,5,excellent and original
417,5,dual esim
418,5,tra original
419,5,nice
420,5,very good products thank you noon
421,5,trusssttttttbleeeee
422,5,great experience
423,5,very beautiful
424,5,the device is perfect thank god
425,4,great
426,5,nice product
427,4,its a great phn
428,1,its the japanese version dont get it
429,2,software issue out of box
430,5,i
431,5,the is excellent
432,5,i was afraid to ask
433,5,fast delivery thank you
434,5,upgrade to
435,5,japanese version in perfect conditions
436,5,nice
437,1,the product is a fake made in china did not manufacture an with two sim slots i have a full refund
438,1,the product is a japanese version and not a global version as shown when i bought it and when i returned it they refused to return it
439,5,gb
440,5,genuine product super
441,3,hithis is expensive but dont have tdrawhy explain to me please
442,1,not working micro and lower sound speaker
443,5,genuine product
444,5,colour and quality excellent
445,3,the price
446,5,genuine
447,5,product as ordered
448,5,good
449,1,fake smartphone everything is fake
450,5,terrific
451,5,original
452,5,nice product and original
453,5,excellent
454,5,best colour and amazing buy it without any worries
455,5,excellent
456,5,amazing experience
457,5,nice
458,1,was used
459,5,the is excellent and original from itself i have had it for a month and have not had any problems thank god
460,5,genuine product lover price
461,1,specifications difference
462,5,product is good
463,5,good excellent
464,2,bought last november
465,1,wrong its not my request
466,1,i have been buying the items from the noon since long time but only this product i am facing problem
467,5,thanks good service
468,5,the product is amazing it arrived quickly
469,1,not satisfied with the
470,1,not working
471,4,
472,5,happy customer
473,5,excellent
474,5,thank you noon
475,5,amazing
476,1,i want to return the product or replace the charger
477,5,excellent
478,5,excellent
479,5,no words
480,3,good
481,5,fast safe
482,5,nice product
483,1,get used
484,4,this is a great
485,1,issues with signal most of the time
486,5,thank you
487,5,it is original and i have been using it for more than months and there is no defect in it at all
488,5,
489,3,this is my first time ordering from noon i was hoping to get a gift with the order like my friends did when they ordered from extra
490,5,the product is original
491,1,defected
492,1,
493,1,nothing works
494,5,goood
495,5,amazing original product
496,4,in general ok but i got the japan market version of the
497,5,
498,5,fantastic
499,1,the is broken
500,5,no
501,5,good
502,5,delivery
503,5,and warranty
504,5,superb
505,5,original product
506,4,good
507,1,japan version not international
508,5,best in the market
509,1,got a another order
510,3,i just shifted from to for me wow amazing experience im having
511,1,packing is not good
512,5,original product
513,5,originally products tdra proved
514,5,original product
515,5,excellent
516,5,thanks
517,2,different order and bad delivery time
518,5,loved it
519,5,good quality
520,5,the product is original
521,1,fake item
522,5,the device is original thank god it is enough that the seller is extra
523,5,original
524,5,very cool
525,5,very good
526,5,very fast delivery as per description
527,5,the product is genuine and i like the service delivery of noon good job keep it up
528,5,physical dual sim
529,5,
530,1,international version is not mentioned thats asian and makes sound while making pics
531,5,
532,5,very cool
533,5,the product is flawless
534,3,the is not good
535,5,very beautiful
536,1,usage issues
537,5,
538,5,it came to me in a sealed envelope and it was clearly original
539,2,was not packed in noon bar code stamp keys
540,1,this time very bad service
541,5,that was amazing
542,1,not suitable for use in the uae
543,5,its a good
544,5,excellent
545,3,damaged box slow delivery high price
546,1,very bad
547,1,version
548,1,i found minor scratches but unfortunately after opening you cant refund it
549,5,the device is generally excellent
550,5,love it
